Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Kenny McLean,MF,Norwich City,26,23,2109.0,1,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09,1.4,1.4,1.6,0.06,0.07,0.12,0.06,0.12
Dwight McNeil,MF,Burnley,27,27,2355.0,2,5,0,0,4,0,0.08,0.19,0.27,0.08,0.27,1.4,1.4,5.2,0.05,0.2,0.25,0.05,0.25
Scott McTominay,MF,Manchester Utd,18,17,1465.0,3,1,0,0,2,0,0.18,0.06,0.25,0.18,0.25,1.4,1.4,0.7,0.08,0.04,0.12,0.08,0.12
Nampalys Mendy,MF,Leicester City,4,3,195.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.04,0.04,0.01,0.04
Max Meyer,MF,Crystal Palace,13,6,545.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.1,0.1,0.2,0.1,0.2
Luka Milivojević,MF,Crystal Palace,22,22,1966.0,2,1,2,2,9,0,0.09,0.05,0.14,0.0,0.05,2.1,0.6,2.0,0.1,0.09,0.19,0.03,0.12
James Milner,MF,Liverpool,17,6,669.0,2,2,2,2,3,0,0.27,0.27,0.54,0.0,0.27,1.9,0.4,0.6,0.25,0.08,0.33,0.05,0.13
Aaron Mooy,MF,Brighton,20,18,1479.0,2,1,0,0,2,1,0.12,0.06,0.18,0.12,0.18,1.8,1.8,2.0,0.11,0.12,0.23,0.11,0.23
Ravel Morrison,MF,Sheffield Utd,1,0,12.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3
Mason Mount,MF,Chelsea,27,23,2152.0,5,4,0,0,3,0,0.21,0.17,0.38,0.21,0.38,5.5,5.5,3.3,0.23,0.14,0.37,0.23,0.37
João Moutinho,MF,Wolves,27,25,2256.0,1,6,0,0,5,0,0.04,0.24,0.28,0.04,0.28,0.7,0.7,4.9,0.03,0.2,0.23,0.03,0.23
Marvelous Nakamba,MF,Aston Villa,20,17,1544.0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.01,0.03,0.04,0.01,0.04
Wilfred Ndidi,MF,Leicester City,21,19,1786.0,2,1,0,0,3,0,0.1,0.05,0.15,0.1,0.15,1.3,1.3,0.4,0.07,0.02,0.08,0.07,0.08
Tanguy Ndombele,MF,Tottenham,17,11,885.0,2,2,0,0,2,0,0.2,0.2,0.41,0.2,0.41,0.4,0.4,1.3,0.04,0.13,0.17,0.04,0.17
Rúben Neves,MF,Wolves,27,24,2127.0,2,1,0,0,7,0,0.08,0.04,0.13,0.08,0.13,1.1,1.1,1.2,0.05,0.05,0.1,0.05,0.1
Mark Noble,MF,West Ham,24,24,1976.0,4,1,3,3,4,0,0.18,0.05,0.23,0.05,0.09,2.9,0.6,1.0,0.13,0.05,0.18,0.03,0.07
Oliver Norwood,MF,Sheffield Utd,27,27,2292.0,1,0,1,1,6,0,0.04,0.0,0.04,0.0,0.0,1.5,0.7,3.4,0.06,0.13,0.19,0.03,0.16
Alex Oxlade-Chamberlain,MF,Liverpool,19,11,959.0,3,0,0,0,1,0,0.28,0.0,0.28,0.28,0.28,2.3,2.3,0.9,0.21,0.08,0.3,0.21,0.3
Troy Parrott,MF,Tottenham,1,0,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
